Date,Request time (ms),Status
27/01/2024 - 10:52:56,1225,
27/01/2024 - 10:53:01,1176,
27/01/2024 - 10:53:07,2501,
27/01/2024 - 10:53:11,1132,
27/01/2024 - 10:53:16,1170,
27/01/2024 - 10:53:24,4414,
27/01/2024 - 10:53:26,1320,
27/01/2024 - 10:53:31,1559,
27/01/2024 - 10:53:38,3997,
27/01/2024 - 10:53:41,1739,
27/01/2024 - 10:53:46,1250,
27/01/2024 - 10:53:53,3079,
27/01/2024 - 10:53:56,1228,
27/01/2024 - 10:54:01,1107,
27/01/2024 - 10:54:06,2023,
27/01/2024 - 10:54:11,1989,
27/01/2024 - 10:54:16,1236,
27/01/2024 - 10:54:21,1203,
27/01/2024 - 10:54:27,2756,
27/01/2024 - 10:54:31,1414,
27/01/2024 - 10:54:36,1332,
27/01/2024 - 10:54:43,3396,
27/01/2024 - 10:54:47,2205,
27/01/2024 - 10:54:51,1798,
27/01/2024 - 10:54:58,3978,
27/01/2024 - 10:55:01,1191,
27/01/2024 - 10:55:06,1211,
27/01/2024 - 10:55:12,2403,
